Start,Finish,Duration,Age,Dialogue/Interaction_unit,Number,CDS,Utterance_type,Participant,Language,Initiation,Response_yes,Transcription,TCH_Language,
19860.00399,19860.66576,0.661769,12,276,12,1,Valid,S1,Rus,0,1,,,273.12.CDS.Valid.S1.Rus.RY
19861.14177,19862.02413,0.882358,12,276,13,0,Voc,TCH,TCH,0,0,,,273.13.CH.Voc.RN
19866.43592,19869.43129,2.995375,12,277,1,0,Icon,TCH,TCH,1,1,Kar-kar,Rus,"274.1.CH.Icon.""Kar-kar"".Init"
19869.51256,19869.97696,0.464399,12,277,2,1,Icon,S1,Rus,0,1,Krja-krja,,"274.2.CDS.Icon.""Krja-krja"".S1.Rus.RY"
19874.85315,19875.38721,0.534059,12,277,3,0,Icon,TCH,TCH,0,1,Av-av,,"274.3.CH.Icon.""Av-av"".RY"
19929.62903,19930.999,1.369977,12,277,4,1,Decl,S1,Rus,0,1,Sobachka tak delaet..,,"274.4.CDS.Decl.""Sobachka tak delaet.."".S1.Rus.RY"
19932.56635,19933.25134,0.684989,12,277,5,0,Icon,TCH,TCH,0,1,Av-av,,"274.5.CH.Icon.""Av-av"".RY"
19944.09506,19944.97742,0.882358,12,277,6,1,Icon,S1,Rus,0,1,Sobachka..av,,"274.6.CDS.Icon.""Sobachka..av"".S1.Rus.RY"
19945.84816,19947.04399,1.195828,12,277,7,0,Icon,TCH,TCH,0,0,Av-av,,"274.7.CH.Icon.""Av-av"".RN"
19956.44807,19957.86449,1.416417,12,278,1,0,Voc,TCH,TCH,1,1,,,275.1.CH.Voc.Init
19959.02549,19961.09206,2.066575,12,278,2,1,Imper,S1,Rus,0,0,,,275.2.CDS.Imper.S1.Rus.RN
19966.08435,19966.89705,0.812698,12,279,1,0,Voc,TCH,TCH,1,1,,,276.1.CH.Voc.Init
20091.41406,20092.08744,0.673379,12,279,2,1,Decl,S1,Rus,0,1,,,276.2.CDS.Decl.S1.Rus.RY
20095.08281,20096.85914,1.776326,12,279,3,0,Voc,TCH,TCH,0,1,,,276.3.CH.Voc.RY
20157.92762,20160.45859,2.530975,12,279,4,1,Interr,S2,Rus,0,0,,,276.4.CDS.Interr.S2.Rus.RN
20160.4702,20161.23646,0.766259,12,280,1,0,Voc,TCH,TCH,1,1,,,277.1.CH.Voc.Init
20171.02367,20171.5229,0.499229,12,280,2,1,Imit,S2,Rus,0,0,,,277.2.CDS.Imit.S2.Rus.RN
20175.57479,20176.34104,0.766258,12,281,1,1,Excl,S2,Rus,1,1,,,278.1.CDS.Excl.S2.Rus.Init
20294.29841,20295.64517,1.346757,12,281,2,0,Voc,TCH,TCH,0,1,,,278.2.CH.Voc.RY
20295.76127,20296.9571,1.195828,12,281,3,1,Valid,S1,Rus,0,1,,,278.3.CDS.Valid.S1.Rus.RY
