Duration,Speaker,Language,Category,Turn,Classification,,
1.79,tch,tch,tch,initiation,babbling,,
1.24,pap,de,cds,contingent,question,,
1.665,tch,tch,tch,contingent,vocalisation,,
1.528,oma,ru,cds,non-contingent,description,,
1.568,mam,ru,ads,non-contingent,ads,,
4.87,mam,ru,cds,non-contingent,scaffolding,,
,mam,ru,cds,non-contingent,imperative,,
9.274,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
1.45,tch,tch,tch,non-contingent,babbling,,
0.97,tch,tch,tch,initiation,laughing,,
2.301,oma,ru,cds,contingent,scaffolding,,
,oma,ru,cds,contingent,scaffolding,,
2.017,mam,ru,cds,non-contingent,praise,,
4.11,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,description,,
3.34,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
8.727,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,backchannel,,
,oma,ru,cds,non-contingent,imperative,,
3.802,oma,ru,cds,non-contingent,imperative,,
1.16,oma,ru,cds,non-contingent,scaffolding,,
6.13,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
6.73,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
1.65,tch,tch,tch,non-contingent,iconic,,
9.24,pap,de,cds,non-contingent,imperative,,
,pap,de,cds,non-contingent,play,,
1.501,tch,tch,tch,non-contingent,vocalisation,,
8.01,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,description,,
1.4,tch,tch,tch,initiation,babbling,,
0.62,oma,ru,cds,contingent,backchannel,,
1.631,tch,tch,tch,non-contingent,babbling,,
2.9,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,imperative,,
3.248,tch,tch,tch,non-contingent,babbling,,
1.86,tch,tch,tch,non-contingent,babbling,,
1.33,tch,tch,tch,non-contingent,babbling,,
1.611,tch,tch,tch,non-contingent,vocalisation,,
1.611,tch,tch,tch,non-contingent,fussing,,
0.76,tch,tch,tch,initiation,vocalisation,,
8.12,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,description,,
0.6,tch,tch,tch,contingent,vocalisation,,
2.95,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
4.563,pap,de,cds,non-contingent,scaffolding,,
,pap,ru,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,scaffolding,,
12.119,pap,de,cds,non-contingent,description,,
,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,scaffolding,,
,pap,de,cds,non-contingent,question,,
,pap,de,cds,non-contingent,play,,
3.166,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,initiation,imperative,,
0.82,tch,tch,tch,contingent,babbling,,
23.46,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,imperative,,
1.906,pap,en,ads,non-contingent,ads,,
2.71,oma,ru,cds,non-contingent,scaffolding,,
1.03,pap,de,cds,non-contingent,scaffolding,,
2.537,pap,de,cds,initiation,play,,
1.48,tch,tch,tch,contingent,speech-like,,
2.049,oma,ru,ads,non-contingent,ads,,
1.54,pap,en,ads,non-contingent,ads,,
1.57,mam,en,ads,non-contingent,ads,,
0.87,pap,en,ads,non-contingent,ads,,
0.51,tch,tch,tch,non-contingent,babbling,,
0.36,pap,en,ads,non-contingent,ads,,
8.543,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,praise,,
,oma,ru,cds,non-contingent,praise,,
5.68,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,initiation,description,,
1.09,tch,tch,tch,contingent,iconic,,
0.86,mam,ru,cds,contingent,iconic imitation,,
0.59,tch,tch,tch,contingent,speech-like,,
1.16,oma,ru,cds,contingent,vocal imitation,,
,oma,ru,cds,contingent,description,,
2.35,mam,ru,cds,non-contingent,description,,
,mam,ru,cds,non-contingent,exclamation,,
1.95,oma,ru,cds,initiation,description,,
1.33,tch,tch,tch,contingent,babbling,,
1.83,mam,ru,ads,non-contingent,ads,,
1.32,tch,tch,tch,initiation,babbling,,
1.08,mam,ru,cds,contingent,vocal imitation,,
1.55,tch,tch,tch,contingent,babbling,,
1.94,mam,ru,cds,contingent,vocal imitation,,
2.297,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,scaffolding,,
4.1,oma,ru,ads,non-contingent,ads,,
1.88,mam,ru,ads,non-contingent,ads,,
4,oma,ru,cds,non-contingent,imperative,,
3.995,oma,ru,ads,non-contingent,ads,,
4.2,oma,ru,ads,non-contingent,ads,,
,oma,ru,ads,non-contingent,ads,,
5.26,mam,ru,ads,non-contingent,ads,,
